Sample,,,,,,,,S1P d16:1 [M>113] Method,,,,S1P d16:1 [M>113] Results,,,,S1P d16:1 [M>60] Method,,,,S1P d16:1 [M>60] Results,,,,S1P d17:1 [M>113] Method,,,,S1P d17:1 [M>113] Results,,,,S1P d17:1 [M>60] Method,,,,S1P d17:1 [M>60] Results,,,,S1P d18:0 [M>113] Method,,,,S1P d18:0 [M>113] Results,,,,S1P d18:0 [M>60] Method,,,,S1P d18:0 [M>60] Results,,,,S1P d18:1 [M>113] Method,,,,S1P d18:1 [M>113] Results,,,,S1P d18:1 [M>60] Method,,,,S1P d18:1 [M>60] Results,,,,S1P d18:1 13C2D2 (ISTD) [M>113] Method,,,,S1P d18:1 13C2D2 (ISTD) [M>113] Results,,,,S1P d18:1 13C2D2 (ISTD) [M>60] Method,,,,S1P d18:1 13C2D2 (ISTD) [M>60] Results,,,,S1P d18:2 [M>113] Method,,,,S1P d18:2 [M>113] Results,,,,S1P d18:2 [M>60] Method,,,,S1P d18:2 [M>60] Results,,,,S1P d19:1 [M>113] Method,,,,S1P d19:1 [M>113] Results,,,,S1P d19:1 [M>60] Method,,,,S1P d19:1 [M>60] Results,,,,S1P d20:1 [M>113] Method,,,,S1P d20:1 [M>113] Results,,,,S1P d20:1 [M>60] Method,,,,S1P d20:1 [M>60] Results,,,
,Quantitation Message,Data File,Name,Type,Level,Acq. Date-Time,Pos.,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI
,043_SPL_S021_Kaplan 0.d,043_SPL_S021_Kaplan 0,Sample,,4/20/2018 0:57,P1-D1,Positive,408.3,113,29,3.463,1503,0.058,FALSE,Positive,408.3,60.1,29,3.463,5283,0.055,FALSE,Positive,422.3,113,29,3.429,1798,0.061,TRUE,Positive,422.3,60.1,29,3.429,5102,0.056,FALSE,Positive,438.3,113,29,3.384,11371,0.058,FALSE,Positive,438.3,60.1,29,3.384,20713,0.06,FALSE,Positive,436.3,113,29,3.402,43883,0.055,FALSE,Positive,436.3,60.1,29,3.402,203324,0.055,FALSE,Positive,440.3,113,29,3.4,9928,0.056,FALSE,Positive,440.3,60.1,29,3.4,40168,0.056,FALSE,Positive,434.3,113,29,3.436,5932,0.057,FALSE,Positive,434.3,60.1,29,3.436,24364,0.056,FALSE,Positive,450.4,113,29,,,,FALSE,Positive,450.4,60.1,29,3.374,3652,0.057,FALSE,Positive,464.4,113,29,3.356,758,0.077,FALSE,Positive,464.4,60.1,29,3.34,1113,0.071,FALSE,
,,044_SPL_S022_Kaplan 1.d,044_SPL_S022_Kaplan 1,Sample,,4/20/2018 1:07,P1-D2,Positive,408.3,113,29,3.463,1365,0.057,FALSE,Positive,408.3,60.1,29,3.463,4082,0.055,FALSE,Positive,422.3,113,29,3.437,1328,0.064,TRUE,Positive,422.3,60.1,29,3.437,4159,0.056,FALSE,Positive,438.3,113,29,3.384,11772,0.059,FALSE,Positive,438.3,60.1,29,3.384,21527,0.06,FALSE,Positive,436.3,113,29,3.402,46006,0.055,FALSE,Positive,436.3,60.1,29,3.402,181173,0.055,FALSE,Positive,440.3,113,29,3.408,9718,0.057,FALSE,Positive,440.3,60.1,29,3.408,41188,0.056,FALSE,Positive,434.3,113,29,3.436,5221,0.056,FALSE,Positive,434.3,60.1,29,3.436,21286,0.056,FALSE,Positive,450.4,113,29,3.374,894,0.069,FALSE,Positive,450.4,60.1,29,3.374,3934,0.058,FALSE,Positive,464.4,113,29,3.34,673,0.072,FALSE,Positive,464.4,60.1,29,3.348,1273,0.03,FALSE
,S1P d19:1 [M>113]: The retention times of all integrated peak groups lie outside the compound's identification time range.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,045_SPL_S023_VM327012.d,045_SPL_S023_VM327012,Sample,,4/20/2018 1:17,P1-D3,Positive,408.3,113,29,3.463,562,0.066,TRUE,Positive,408.3,60.1,29,3.463,1870,0.055,FALSE,Positive,422.3,113,29,3.429,902,0.083,TRUE,Positive,422.3,60.1,29,3.429,1868,0.059,TRUE,Positive,438.3,113,29,3.376,4859,0.06,FALSE,Positive,438.3,60.1,29,3.376,7675,0.06,FALSE,Positive,436.3,113,29,3.402,12389,0.056,FALSE,Positive,436.3,60.1,29,3.402,49544,0.055,FALSE,Positive,440.3,113,29,3.4,8394,0.055,FALSE,Positive,440.3,60.1,29,3.4,37413,0.055,FALSE,Positive,434.3,113,29,3.436,3180,0.058,FALSE,Positive,434.3,60.1,29,3.428,12819,0.056,FALSE,Positive,450.4,113,29,,,,FALSE,Positive,450.4,60.1,29,3.357,1654,0.067,FALSE,Positive,464.4,113,29,3.265,168,0.074,FALSE,Positive,464.4,60.1,29,3.34,277,0.05,TRUE,
,,046_SPL_S024_LZ147929.d,046_SPL_S024_LZ147929,Sample,,4/20/2018 1:27,P1-D4,Positive,408.3,113,29,3.463,994,0.056,FALSE,Positive,408.3,60.1,29,3.463,4303,0.054,FALSE,Positive,422.3,113,29,3.429,1173,0.068,TRUE,Positive,422.3,60.1,29,3.429,3152,0.058,TRUE,Positive,438.3,113,29,3.376,10503,0.058,FALSE,Positive,438.3,60.1,29,3.384,18873,0.058,FALSE,Positive,436.3,113,29,3.402,29886,0.056,FALSE,Positive,436.3,60.1,29,3.402,124055,0.055,FALSE,Positive,440.3,113,29,3.4,9221,0.057,FALSE,Positive,440.3,60.1,29,3.4,42480,0.055,FALSE,Positive,434.3,113,29,3.436,4705,0.057,FALSE,Positive,434.3,60.1,29,3.436,18746,0.056,FALSE,Positive,450.4,113,29,3.366,256,0.108,FALSE,Positive,450.4,60.1,29,3.374,2688,0.057,FALSE,Positive,464.4,113,29,3.348,666,0.086,FALSE,Positive,464.4,60.1,29,3.34,895,0.056,FALSE
,,047_BQC_PQC05.d,047_BQC_PQC05,Sample,,4/20/2018 1:38,P1-D5,Positive,408.3,113,29,3.463,1716,0.057,FALSE,Positive,408.3,60.1,29,3.463,6397,0.055,FALSE,Positive,422.3,113,29,3.429,1451,0.061,FALSE,Positive,422.3,60.1,29,3.429,4551,0.056,FALSE,Positive,438.3,113,29,3.384,10290,0.059,FALSE,Positive,438.3,60.1,29,3.384,18496,0.06,FALSE,Positive,436.3,113,29,3.402,32049,0.056,FALSE,Positive,436.3,60.1,29,3.402,145073,0.055,FALSE,Positive,440.3,113,29,3.4,9621,0.057,TRUE,Positive,440.3,60.1,29,3.4,40488,0.056,FALSE,Positive,434.3,113,29,3.436,5571,0.057,FALSE,Positive,434.3,60.1,29,3.436,21648,0.056,FALSE,Positive,450.4,113,29,3.274,107,0.062,FALSE,Positive,450.4,60.1,29,3.374,2944,0.059,FALSE,Positive,464.4,113,29,3.265,94,0.042,FALSE,Positive,464.4,60.1,29,3.34,869,0.056,TRUE
,,048_SPL_S025_Jossi 0.d,048_SPL_S025_Jossi 0,Sample,,4/20/2018 1:48,P1-D6,Positive,408.3,113,29,3.446,508,0.068,TRUE,Positive,408.3,60.1,29,3.463,1689,0.057,FALSE,Positive,422.3,113,29,3.429,731,0.037,FALSE,Positive,422.3,60.1,29,3.429,1658,0.058,TRUE,Positive,438.3,113,29,3.376,8489,0.059,FALSE,Positive,438.3,60.1,29,3.384,13385,0.06,FALSE,Positive,436.3,113,29,3.402,24995,0.056,FALSE,Positive,436.3,60.1,29,3.402,106262,0.055,FALSE,Positive,440.3,113,29,3.4,10554,0.057,FALSE,Positive,440.3,60.1,29,3.4,43195,0.055,FALSE,Positive,434.3,113,29,3.436,3538,0.057,FALSE,Positive,434.3,60.1,29,3.436,13237,0.056,FALSE,Positive,450.4,113,29,3.299,185,0.068,FALSE,Positive,450.4,60.1,29,3.366,2270,0.06,FALSE,Positive,464.4,113,29,3.34,644,0.042,FALSE,Positive,464.4,60.1,29,3.348,686,0.08,FALSE
,,049_SPL_S026_VM324503.d,049_SPL_S026_VM324503,Sample,,4/20/2018 1:58,P1-D7,Positive,408.3,113,29,3.455,1142,0.06,TRUE,Positive,408.3,60.1,29,3.463,3867,0.054,FALSE,Positive,422.3,113,29,3.429,1160,0.065,TRUE,Positive,422.3,60.1,29,3.429,3027,0.057,FALSE,Positive,438.3,113,29,3.376,8539,0.064,FALSE,Positive,438.3,60.1,29,3.384,14397,0.06,FALSE,Positive,436.3,113,29,3.402,26278,0.056,FALSE,Positive,436.3,60.1,29,3.402,114228,0.055,FALSE,Positive,440.3,113,29,3.4,8522,0.057,FALSE,Positive,440.3,60.1,29,3.4,37182,0.056,FALSE,Positive,434.3,113,29,3.436,4430,0.057,FALSE,Positive,434.3,60.1,29,3.436,18489,0.055,FALSE,Positive,450.4,113,29,3.382,535,0.099,FALSE,Positive,450.4,60.1,29,3.374,2492,0.058,FALSE,Positive,464.4,113,29,3.34,759,0.072,FALSE,Positive,464.4,60.1,29,3.34,965,0.046,FALSE
,S1P d19:1 [M>113]: The retention times of all integrated peak groups lie outside the compound's identification time range.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,050_SPL_S027_Waldbug 0.d,050_SPL_S027_Waldbug 0,Sample,,4/20/2018 2:09,P1-D8,Positive,408.3,113,29,3.463,1071,0.055,FALSE,Positive,408.3,60.1,29,3.463,3096,0.056,FALSE,Positive,422.3,113,29,3.437,967,0.069,TRUE,Positive,422.3,60.1,29,3.429,1893,0.057,FALSE,Positive,438.3,113,29,3.376,10176,0.059,FALSE,Positive,438.3,60.1,29,3.384,15042,0.06,FALSE,Positive,436.3,113,29,3.402,31586,0.056,FALSE,Positive,436.3,60.1,29,3.402,140098,0.055,FALSE,Positive,440.3,113,29,3.4,9880,0.056,FALSE,Positive,440.3,60.1,29,3.4,41022,0.055,FALSE,Positive,434.3,113,29,3.436,4260,0.057,FALSE,Positive,434.3,60.1,29,3.436,16881,0.057,FALSE,Positive,450.4,113,29,,,,FALSE,Positive,450.4,60.1,29,3.374,2970,0.058,FALSE,Positive,464.4,113,29,3.34,798,0.069,FALSE,Positive,464.4,60.1,29,3.34,1068,0.056,FALSE,
,,051_SPL_S028_LZ147119.d,051_SPL_S028_LZ147119,Sample,,4/20/2018 2:19,P1-D9,Positive,408.3,113,29,3.463,2022,0.056,FALSE,Positive,408.3,60.1,29,3.463,7118,0.055,FALSE,Positive,422.3,113,29,3.437,1219,0.061,FALSE,Positive,422.3,60.1,29,3.429,4247,0.057,FALSE,Positive,438.3,113,29,3.384,3972,0.061,FALSE,Positive,438.3,60.1,29,3.384,7006,0.061,FALSE,Positive,436.3,113,29,3.402,14126,0.055,FALSE,Positive,436.3,60.1,29,3.402,55338,0.055,FALSE,Positive,440.3,113,29,3.408,10059,0.056,FALSE,Positive,440.3,60.1,29,3.4,42743,0.056,FALSE,Positive,434.3,113,29,3.436,3791,0.057,FALSE,Positive,434.3,60.1,29,3.436,14878,0.056,FALSE,Positive,450.4,113,29,3.399,418,0.101,FALSE,Positive,450.4,60.1,29,3.374,1222,0.058,FALSE,Positive,464.4,113,29,3.265,106,0.05,FALSE,Positive,464.4,60.1,29,3.34,385,0.072,TRUE
,,052_SPL_S029_Schmidli 0.d,052_SPL_S029_Schmidli 0,Sample,,4/20/2018 2:29,P1-E1,Positive,408.3,113,29,3.463,3455,0.055,FALSE,Positive,408.3,60.1,29,3.463,14530,0.054,FALSE,Positive,422.3,113,29,3.429,2176,0.06,FALSE,Positive,422.3,60.1,29,3.429,7932,0.056,FALSE,Positive,438.3,113,29,3.376,13728,0.056,FALSE,Positive,438.3,60.1,29,3.384,25144,0.06,FALSE,Positive,436.3,113,29,3.402,49279,0.055,FALSE,Positive,436.3,60.1,29,3.402,207611,0.055,FALSE,Positive,440.3,113,29,3.4,10857,0.054,FALSE,Positive,440.3,60.1,29,3.4,47330,0.056,FALSE,Positive,434.3,113,29,3.436,6564,0.057,FALSE,Positive,434.3,60.1,29,3.436,29097,0.056,FALSE,Positive,450.4,113,29,3.374,400,0.116,FALSE,Positive,450.4,60.1,29,3.374,3636,0.057,FALSE,Positive,464.4,113,29,3.34,313,0.141,FALSE,Positive,464.4,60.1,29,3.34,686,0.062,FALSE
,S1P d19:1 [M>113]: The retention times of all integrated peak groups lie outside the compound's identification time range.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,053_SPL_S030_Schmidli 1.d,053_SPL_S030_Schmidli 1,Sample,,4/20/2018 2:39,P1-E2,Positive,408.3,113,29,3.463,4788,0.055,FALSE,Positive,408.3,60.1,29,3.463,15224,0.055,FALSE,Positive,422.3,113,29,3.437,2731,0.058,FALSE,Positive,422.3,60.1,29,3.429,10311,0.056,FALSE,Positive,438.3,113,29,3.376,15492,0.06,FALSE,Positive,438.3,60.1,29,3.384,25149,0.06,FALSE,Positive,436.3,113,29,3.402,49959,0.054,FALSE,Positive,436.3,60.1,29,3.402,198929,0.055,FALSE,Positive,440.3,113,29,3.4,10163,0.057,FALSE,Positive,440.3,60.1,29,3.4,43688,0.056,FALSE,Positive,434.3,113,29,3.436,8040,0.056,FALSE,Positive,434.3,60.1,29,3.436,31751,0.056,FALSE,Positive,450.4,113,29,,,,FALSE,Positive,450.4,60.1,29,3.374,3919,0.057,FALSE,Positive,464.4,113,29,3.34,296,0.099,FALSE,Positive,464.4,60.1,29,3.34,893,0.069,TRUE,
,,054_SPL_S031_LZ145928.d,054_SPL_S031_LZ145928,Sample,,4/20/2018 2:50,P1-E3,Positive,408.3,113,29,3.463,3486,0.056,FALSE,Positive,408.3,60.1,29,3.463,12705,0.054,FALSE,Positive,422.3,113,29,3.429,2272,0.058,FALSE,Positive,422.3,60.1,29,3.429,7417,0.057,FALSE,Positive,438.3,113,29,3.384,16495,0.06,FALSE,Positive,438.3,60.1,29,3.384,31343,0.061,FALSE,Positive,436.3,113,29,3.402,82211,0.055,FALSE,Positive,436.3,60.1,29,3.402,373376,0.055,FALSE,Positive,440.3,113,29,3.4,10022,0.058,FALSE,Positive,440.3,60.1,29,3.4,41092,0.056,FALSE,Positive,434.3,113,29,3.436,8506,0.057,FALSE,Positive,434.3,60.1,29,3.436,37174,0.056,FALSE,Positive,450.4,113,29,3.374,1016,0.059,FALSE,Positive,450.4,60.1,29,3.374,6251,0.057,FALSE,Positive,464.4,113,29,3.348,677,0.116,FALSE,Positive,464.4,60.1,29,3.348,2363,0.058,TRUE
,,055_SPL_S032_VM307676.d,055_SPL_S032_VM307676,Sample,,4/20/2018 3:00,P1-E4,Positive,408.3,113,29,3.455,747,0.064,TRUE,Positive,408.3,60.1,29,3.463,2232,0.055,FALSE,Positive,422.3,113,29,3.429,788,0.072,FALSE,Positive,422.3,60.1,29,3.437,1923,0.058,FALSE,Positive,438.3,113,29,3.376,8265,0.058,FALSE,Positive,438.3,60.1,29,3.384,13267,0.059,FALSE,Positive,436.3,113,29,3.402,18475,0.056,FALSE,Positive,436.3,60.1,29,3.402,81409,0.055,FALSE,Positive,440.3,113,29,3.4,9874,0.057,FALSE,Positive,440.3,60.1,29,3.4,41426,0.055,FALSE,Positive,434.3,113,29,3.436,4208,0.056,FALSE,Positive,434.3,60.1,29,3.436,14032,0.056,FALSE,Positive,450.4,113,29,3.374,615,0.105,FALSE,Positive,450.4,60.1,29,3.374,2015,0.06,FALSE,Positive,464.4,113,29,3.265,75,0.048,FALSE,Positive,464.4,60.1,29,3.348,602,0.047,FALSE
,,056_BQC_PQC06.d,056_BQC_PQC06,Sample,,4/20/2018 3:10,P1-E5,Positive,408.3,113,29,3.455,1506,0.057,FALSE,Positive,408.3,60.1,29,3.463,6327,0.055,FALSE,Positive,422.3,113,29,3.429,1470,0.06,FALSE,Positive,422.3,60.1,29,3.429,4404,0.056,FALSE,Positive,438.3,113,29,3.376,10790,0.059,FALSE,Positive,438.3,60.1,29,3.384,17837,0.058,FALSE,Positive,436.3,113,29,3.402,33364,0.055,FALSE,Positive,436.3,60.1,29,3.402,147550,0.055,FALSE,Positive,440.3,113,29,3.4,9521,0.057,FALSE,Positive,440.3,60.1,29,3.4,40949,0.056,FALSE,Positive,434.3,113,29,3.436,5173,0.057,FALSE,Positive,434.3,60.1,29,3.436,22614,0.056,FALSE,Positive,450.4,113,29,3.291,107,0.063,FALSE,Positive,450.4,60.1,29,3.374,2780,0.058,FALSE,Positive,464.4,113,29,3.34,676,0.069,FALSE,Positive,464.4,60.1,29,3.34,883,0.054,TRUE
,,057_TQC_TQC04.d,057_TQC_TQC04,Sample,,4/20/2018 3:20,Vial 3,Positive,408.3,113,29,3.463,1950,0.058,FALSE,Positive,408.3,60.1,29,3.463,7322,0.055,FALSE,Positive,422.3,113,29,3.429,1742,0.064,FALSE,Positive,422.3,60.1,29,3.429,4941,0.056,FALSE,Positive,438.3,113,29,3.376,11649,0.058,FALSE,Positive,438.3,60.1,29,3.384,18369,0.06,FALSE,Positive,436.3,113,29,3.402,36660,0.056,FALSE,Positive,436.3,60.1,29,3.402,161718,0.055,FALSE,Positive,440.3,113,29,3.4,10581,0.057,FALSE,Positive,440.3,60.1,29,3.4,45380,0.056,FALSE,Positive,434.3,113,29,3.436,6438,0.056,FALSE,Positive,434.3,60.1,29,3.436,25698,0.056,FALSE,Positive,450.4,113,29,3.374,700,0.084,FALSE,Positive,450.4,60.1,29,3.374,3507,0.058,FALSE,Positive,464.4,113,29,3.348,670,0.077,FALSE,Positive,464.4,60.1,29,3.34,792,0.042,FALSE
,,058_SPL_S033_Huber 0.d,058_SPL_S033_Huber 0,Sample,,4/20/2018 3:31,P1-E6,Positive,408.3,113,29,3.463,1737,0.056,FALSE,Positive,408.3,60.1,29,3.463,6381,0.055,FALSE,Positive,422.3,113,29,3.429,1669,0.06,FALSE,Positive,422.3,60.1,29,3.429,5806,0.057,FALSE,Positive,438.3,113,29,3.376,10646,0.059,FALSE,Positive,438.3,60.1,29,3.384,17300,0.06,FALSE,Positive,436.3,113,29,3.402,36649,0.056,FALSE,Positive,436.3,60.1,29,3.402,161637,0.055,FALSE,Positive,440.3,113,29,3.4,10373,0.056,FALSE,Positive,440.3,60.1,29,3.4,45628,0.056,FALSE,Positive,434.3,113,29,3.436,6821,0.056,FALSE,Positive,434.3,60.1,29,3.436,27410,0.056,FALSE,Positive,450.4,113,29,3.291,200,0.077,FALSE,Positive,450.4,60.1,29,3.374,3470,0.057,FALSE,Positive,464.4,113,29,3.34,814,0.17,FALSE,Positive,464.4,60.1,29,3.348,786,0.065,FALSE
,,059_SPL_S034_Huber 1.d,059_SPL_S034_Huber 1,Sample,,4/20/2018 3:41,P1-E7,Positive,408.3,113,29,3.463,1292,0.057,FALSE,Positive,408.3,60.1,29,3.463,4893,0.055,FALSE,Positive,422.3,113,29,3.429,1142,0.059,FALSE,Positive,422.3,60.1,29,3.429,4200,0.057,FALSE,Positive,438.3,113,29,3.376,9333,0.058,FALSE,Positive,438.3,60.1,29,3.384,14976,0.06,FALSE,Positive,436.3,113,29,3.402,30886,0.056,FALSE,Positive,436.3,60.1,29,3.402,129046,0.055,FALSE,Positive,440.3,113,29,3.4,9935,0.056,FALSE,Positive,440.3,60.1,29,3.4,41218,0.055,FALSE,Positive,434.3,113,29,3.436,5463,0.057,FALSE,Positive,434.3,60.1,29,3.436,20587,0.056,FALSE,Positive,450.4,113,29,3.382,687,0.064,FALSE,Positive,450.4,60.1,29,3.374,2548,0.058,FALSE,Positive,464.4,113,29,3.356,663,0.114,FALSE,Positive,464.4,60.1,29,3.348,755,0.055,TRUE
,,060_SPL_S035_VM308456.d,060_SPL_S035_VM308456,Sample,,4/20/2018 3:51,P1-E8,Positive,408.3,113,29,3.463,1811,0.057,FALSE,Positive,408.3,60.1,29,3.463,6196,0.055,FALSE,Positive,422.3,113,29,3.429,1837,0.059,FALSE,Positive,422.3,60.1,29,3.437,5626,0.056,FALSE,Positive,438.3,113,29,3.384,12994,0.057,FALSE,Positive,438.3,60.1,29,3.384,21551,0.059,FALSE,Positive,436.3,113,29,3.402,37972,0.056,FALSE,Positive,436.3,60.1,29,3.402,171354,0.055,FALSE,Positive,440.3,113,29,3.4,9836,0.057,FALSE,Positive,440.3,60.1,29,3.408,45660,0.056,FALSE,Positive,434.3,113,29,3.436,6463,0.057,FALSE,Positive,434.3,60.1,29,3.436,26238,0.056,FALSE,Positive,450.4,113,29,3.39,533,0.069,FALSE,Positive,450.4,60.1,29,3.374,3154,0.058,FALSE,Positive,464.4,113,29,3.348,746,0.11,FALSE,Positive,464.4,60.1,29,3.34,844,0.06,TRUE
,,061_SPL_S036_VM308697.d,061_SPL_S036_VM308697,Sample,,4/20/2018 4:01,P1-E9,Positive,408.3,113,29,3.463,1826,0.057,FALSE,Positive,408.3,60.1,29,3.463,6423,0.054,FALSE,Positive,422.3,113,29,3.429,1480,0.06,TRUE,Positive,422.3,60.1,29,3.429,4835,0.056,TRUE,Positive,438.3,113,29,3.376,9212,0.058,FALSE,Positive,438.3,60.1,29,3.384,16006,0.061,FALSE,Positive,436.3,113,29,3.402,42409,0.055,FALSE,Positive,436.3,60.1,29,3.402,157480,0.055,FALSE,Positive,440.3,113,29,3.4,9879,0.057,FALSE,Positive,440.3,60.1,29,3.4,40913,0.056,FALSE,Positive,434.3,113,29,3.428,7470,0.056,FALSE,Positive,434.3,60.1,29,3.428,29653,0.056,FALSE,Positive,450.4,113,29,3.374,824,0.069,FALSE,Positive,450.4,60.1,29,3.374,3487,0.058,FALSE,Positive,464.4,113,29,3.34,291,0.099,FALSE,Positive,464.4,60.1,29,3.348,833,0.049,TRUE
,,062_SPL_S037_Stahel 0.d,062_SPL_S037_Stahel 0,Sample,,4/20/2018 4:12,P1-F1,Positive,408.3,113,29,3.463,1864,0.059,FALSE,Positive,408.3,60.1,29,3.463,6464,0.058,FALSE,Positive,422.3,113,29,3.429,2395,0.059,FALSE,Positive,422.3,60.1,29,3.429,8793,0.056,FALSE,Positive,438.3,113,29,3.376,11321,0.059,FALSE,Positive,438.3,60.1,29,3.384,22220,0.059,FALSE,Positive,436.3,113,29,3.402,48155,0.055,FALSE,Positive,436.3,60.1,29,3.402,199023,0.055,FALSE,Positive,440.3,113,29,3.4,10724,0.057,FALSE,Positive,440.3,60.1,29,3.4,43590,0.056,FALSE,Positive,434.3,113,29,3.436,6110,0.056,FALSE,Positive,434.3,60.1,29,3.436,25281,0.055,FALSE,Positive,450.4,113,29,3.382,913,0.071,FALSE,Positive,450.4,60.1,29,3.374,4611,0.057,FALSE,Positive,464.4,113,29,3.348,913,0.043,FALSE,Positive,464.4,60.1,29,3.348,1357,0.054,FALSE
,,063_SPL_S038_VM308924.d,063_SPL_S038_VM308924,Sample,,4/20/2018 4:22,P1-F2,Positive,408.3,113,29,3.463,2709,0.056,FALSE,Positive,408.3,60.1,29,3.463,10144,0.055,FALSE,Positive,422.3,113,29,3.429,1585,0.061,FALSE,Positive,422.3,60.1,29,3.429,5292,0.056,FALSE,Positive,438.3,113,29,3.384,4778,0.059,FALSE,Positive,438.3,60.1,29,3.384,8312,0.059,FALSE,Positive,436.3,113,29,3.402,22741,0.055,FALSE,Positive,436.3,60.1,29,3.402,91945,0.055,FALSE,Positive,440.3,113,29,3.4,12142,0.056,FALSE,Positive,440.3,60.1,29,3.4,54677,0.055,FALSE,Positive,434.3,113,29,3.436,5935,0.056,FALSE,Positive,434.3,60.1,29,3.436,24895,0.056,FALSE,Positive,450.4,113,29,3.382,404,0.097,FALSE,Positive,450.4,60.1,29,3.374,1640,0.058,FALSE,Positive,464.4,113,29,3.257,53,0.038,FALSE,Positive,464.4,60.1,29,3.331,317,0.059,FALSE
,,064_SPL_S039_Siegrist 0.d,064_SPL_S039_Siegrist 0,Sample,,4/20/2018 4:32,P1-F3,Positive,408.3,113,29,3.463,3006,0.055,FALSE,Positive,408.3,60.1,29,3.463,12231,0.054,FALSE,Positive,422.3,113,29,3.429,1907,0.058,FALSE,Positive,422.3,60.1,29,3.429,6487,0.056,FALSE,Positive,438.3,113,29,3.376,7135,0.06,FALSE,Positive,438.3,60.1,29,3.384,13783,0.06,FALSE,Positive,436.3,113,29,3.402,34675,0.055,FALSE,Positive,436.3,60.1,29,3.402,153955,0.055,FALSE,Positive,440.3,113,29,3.4,9909,0.056,FALSE,Positive,440.3,60.1,29,3.4,43400,0.056,FALSE,Positive,434.3,113,29,3.436,7602,0.057,FALSE,Positive,434.3,60.1,29,3.436,33444,0.056,FALSE,Positive,450.4,113,29,3.382,728,0.044,FALSE,Positive,450.4,60.1,29,3.374,2790,0.059,FALSE,Positive,464.4,113,29,3.282,132,0.057,FALSE,Positive,464.4,60.1,29,3.34,634,0.044,FALSE
,,065_SPL_S040_Siegrist 1.d,065_SPL_S040_Siegrist 1,Sample,,4/20/2018 4:42,P1-F4,Positive,408.3,113,29,3.463,3256,0.056,FALSE,Positive,408.3,60.1,29,3.463,12409,0.055,FALSE,Positive,422.3,113,29,3.429,1840,0.059,FALSE,Positive,422.3,60.1,29,3.429,7200,0.056,FALSE,Positive,438.3,113,29,3.384,8354,0.06,FALSE,Positive,438.3,60.1,29,3.384,16579,0.06,FALSE,Positive,436.3,113,29,3.402,42993,0.055,FALSE,Positive,436.3,60.1,29,3.402,169685,0.055,FALSE,Positive,440.3,113,29,3.4,9398,0.056,FALSE,Positive,440.3,60.1,29,3.4,40739,0.056,FALSE,Positive,434.3,113,29,3.436,8443,0.056,FALSE,Positive,434.3,60.1,29,3.436,31715,0.056,FALSE,Positive,450.4,113,29,3.374,758,0.071,FALSE,Positive,450.4,60.1,29,3.374,3572,0.058,FALSE,Positive,464.4,113,29,3.348,360,0.061,FALSE,Positive,464.4,60.1,29,3.348,795,0.064,FALSE
